symbol,condition,window_h,n_occurrences,win_rate,baseline_wr,edge_vs_base,avg_return,median_return,edge_score
LTCUSDT,rsi_below_40,12,222,0.5135,0.462,0.0515,0.0011,0.0004,0.3940253506551005
UNIUSDT,momentum_4h_pos,12,183,0.5137,0.457,0.0567,0.0069,0.0018,0.3940199118240731
VETUSDT,oversold_high_volume,12,47,0.5319,0.424,0.1079,0.0074,0.0012,0.39345979738276277
ZECUSDT,strong_mom_up,12,171,0.4912,0.43,0.0612,0.0032,-0.0014,0.39310433717193405
SOLUSDT,bb_upper_high_volume,24,56,0.5536,0.459,0.0946,0.0034,0.0022,0.39190538534697583
SUIUSDT,very_high_volume,12,86,0.5349,0.456,0.0789,0.0047,0.0016,0.39138017827268745
DOGEUSDT,high_volatility,1,39,0.5897,0.484,0.1057,0.0009,0.0016,0.3892587812875901
SUIUSDT,strong_mom_down,1,83,0.5663,0.491,0.0753,0.0007,0.0006,0.3884906617509671
VETUSDT,oversold_high_volume,4,47,0.5745,0.476,0.0985,0.0016,0.0034,0.3879494964411444
ETHUSDT,rsi_above_70,4,82,0.5732,0.499,0.0742,0.0028,0.0021,0.3851385696795833
OPUSDT,ranging_bb_lower,1,42,0.5714,0.469,0.1024,0.0006,0.0012,0.37919695207119375
ARPAUSDT,rsi_below_30,4,36,0.5833,0.475,0.1083,0.0043,0.0026,0.37902834
WIFUSDT,momentum_4h_neg,1,297,0.4141,0.361,0.0531,0.0009,0.0,0.37894656633467166
CRVUSDT,bb_near_upper,12,184,0.4891,0.432,0.0571,0.0034,0.0015,0.3788285333200581
FLOWUSDT,rsi_above_60,12,136,0.4779,0.41,0.0679,0.0228,-0.0008,0.3784218974522241
OPUSDT,rsi_below_35,24,131,0.5115,0.447,0.0645,0.0044,0.0009,0.37760783812864307
PEPEUSDT,trend_down_oversold,12,131,0.4656,0.395,0.0706,0.0011,0.0,0.37622991159754643
ADAUSDT,trend_mixed,4,192,0.4948,0.44,0.0548,0.001,0.0,0.3757170154340993
VETUSDT,rsi_below_35,4,146,0.5342,0.476,0.0582,0.0009,0.0015,0.37566721585928364
VETUSDT,bb_mid,24,149,0.4765,0.412,0.0645,0.0023,-0.0004,0.3751593319328635
PEPEUSDT,rsi_below_35,12,138,0.4638,0.395,0.0688,0.0009,0.0,0.37485104486139126
SOLUSDT,momentum_12h_pos,1,183,0.5246,0.472,0.0526,0.0011,0.0007,0.3732841719282145
AAVEUSDT,rsi_below_35,24,167,0.479,0.419,0.06,0.004,-0.0022,0.37140265104061926
BTCUSDT,ranging_bb_lower,1,57,0.5789,0.494,0.0849,0.0006,0.0014,0.3710638682236923
PEPEUSDT,oversold_high_volume,4,31,0.5484,0.427,0.1214,0.0013,0.0031,0.3706781439563244
VETUSDT,strong_mom_down,1,31,0.5806,0.466,0.1146,0.0015,0.0014,0.37046100114617403
BNBUSDT,ranging_bb_upper,4,48,0.5833,0.492,0.0913,0.0046,0.0016,0.368963472207259
AVAXUSDT,very_high_volume,1,87,0.5172,0.441,0.0762,0.0007,0.0011,0.36759797800482424
FLOWUSDT,high_volume,12,177,0.4689,0.41,0.0589,0.0048,-0.0011,0.36743638589274974
NEARUSDT,big_candle,12,242,0.4711,0.421,0.0501,0.005,0.0,0.3671626646888382
ETHUSDT,rsi_below_30,1,69,0.5652,0.487,0.0782,0.0008,0.001,0.36714147773252537
BNBUSDT,ranging_bb_upper,12,48,0.5417,0.444,0.0977,0.0086,0.0041,0.36666885129739174
CRVUSDT,squeeze_breakout_down,12,49,0.5306,0.432,0.0986,0.0033,0.002,0.36622012
ETHUSDT,very_high_volume,24,94,0.5532,0.485,0.0682,0.0055,0.005,0.3657888582075381
SOLUSDT,bb_near_lower,12,219,0.484,0.433,0.051,0.0014,-0.0008,0.3652898417202427
OPUSDT,squeeze_breakout_up,1,48,0.5625,0.469,0.0935,0.0007,0.0009,0.36438018864230254
FLOWUSDT,big_candle,12,241,0.4606,0.41,0.0506,0.0022,-0.0013,0.3618120041739268
NEARUSDT,high_volume,24,177,0.4859,0.43,0.0559,0.0099,0.0008,0.36136437881765504
SUIUSDT,trend_down_oversold,4,145,0.5241,0.467,0.0571,0.0012,0.0007,0.36035808394034186
INJUSDT,rsi_below_30,1,63,0.5556,0.474,0.0816,0.0009,0.0007,0.3598509640790487
ARPAUSDT,rsi_below_30,1,36,0.5556,0.448,0.1076,0.0014,0.0015,0.35869535999999996
BNBUSDT,bb_lower_high_volume,24,69,0.5217,0.439,0.0827,0.0031,0.0015,0.3583858808498166
XRPUSDT,rsi_below_30,1,63,0.5556,0.475,0.0806,0.0009,0.0007,0.35544102579376624
VETUSDT,trend_down_oversold,4,141,0.5319,0.476,0.0559,0.0008,0.0015,0.35306230688573664
WIFUSDT,bb_mid,1,172,0.4244,0.361,0.0634,0.0012,0.0,0.3528814721517059
NEARUSDT,trend_down_oversold,12,93,0.4946,0.421,0.0736,0.0035,0.0,0.35105357544609167
ZECUSDT,very_high_volume,4,94,0.5,0.428,0.072,0.0032,0.001,0.3490329497339757
FLOWUSDT,ranging_bb_lower,24,45,0.4667,0.356,0.1107,0.0251,-0.0065,0.3465705684254284
OPUSDT,trend_down_oversold,24,122,0.5082,0.447,0.0612,0.0061,0.0009,0.34353105109879545
ZECUSDT,strong_mom_up,24,171,0.4912,0.438,0.0532,0.0098,-0.0075,0.3417181493063218
SUIUSDT,rsi_below_30,4,76,0.5395,0.467,0.0725,0.0021,0.0008,0.34098576710582806
UNIUSDT,squeeze_breakout_down,24,38,0.5526,0.453,0.0996,0.009,0.0025,0.33928293573284934
BNBUSDT,momentum_4h_pos,4,107,0.5514,0.492,0.0594,0.0016,0.0016,0.3388013214679943
ADAUSDT,momentum_continuation_up,1,36,0.5556,0.454,0.1016,0.0012,0.0016,0.33869375999999995
NEARUSDT,rsi_below_35,12,100,0.49,0.421,0.069,0.0028,0.0,0.33810000000000007
CRVUSDT,strong_mom_down,12,113,0.4956,0.432,0.0636,0.0077,0.0,0.3350638968407262
SUIUSDT,trend_down_oversold,24,145,0.4897,0.433,0.0567,0.0053,-0.0006,0.3343467946588011
LTCUSDT,rsi_below_30,12,63,0.5397,0.462,0.0777,0.0038,0.0006,0.33284628313976156
CRVUSDT,trend_down_oversold,24,173,0.4913,0.44,0.0513,0.0012,-0.0013,0.3315027846090969
ADAUSDT,high_volatility,4,39,0.5385,0.44,0.0985,0.0011,0.0008,0.33124874508054747
SOLUSDT,rsi_above_65,1,125,0.528,0.472,0.056,0.0006,0.0006,0.33058028979356896
ZECUSDT,high_volume,12,170,0.4824,0.43,0.0524,0.0021,-0.0011,0.32958166758027063
LDOUSDT,squeeze_breakout_up,4,48,0.5625,0.478,0.0845,0.001,0.0011,0.32930615978903277
SUIUSDT,bb_lower_high_volume,24,56,0.5179,0.433,0.0849,0.0047,0.0011,0.32903918043161606
DOGEUSDT,high_volatility,4,39,0.5641,0.471,0.0931,0.0035,0.0038,0.3279729938304676
LTCUSDT,momentum_12h_neg,4,131,0.5344,0.481,0.0534,0.0009,0.0011,0.32662043608973645
PEPEUSDT,oversold_high_volume,1,31,0.5161,0.403,0.1131,0.0007,0.0026,0.32499547252395855
NEARUSDT,bb_upper_high_volume,1,79,0.5316,0.463,0.0686,0.0027,0.0008,0.32413254084400467
ARPAUSDT,rsi_below_35,12,91,0.5604,0.5,0.0604,0.0068,0.004,0.32289086719833004
ADAUSDT,ranging_bb_upper,4,72,0.5139,0.44,0.0739,0.0025,0.0008,0.3222473126585468
ARPAUSDT,ranging_bb_lower,12,52,0.5769,0.5,0.0769,0.0057,0.0041,0.3199105412393739
AAVEUSDT,trend_down_oversold,24,152,0.4737,0.419,0.0547,0.0032,-0.003,0.3194570707047806
BNBUSDT,rsi_below_35,12,149,0.4966,0.444,0.0526,0.0009,-0.0002,0.31884939228747855
ZECUSDT,squeeze_breakout_up,24,62,0.5161,0.438,0.0781,0.0048,0.0093,0.3173808637210225
LTCUSDT,momentum_4h_neg,12,134,0.5149,0.462,0.0529,0.0016,0.0008,0.31530507648394973
ETHUSDT,bb_upper_high_volume,24,61,0.5574,0.485,0.0724,0.008,0.0097,0.31518856146096674
FLOWUSDT,ranging_bb_upper,24,34,0.4706,0.356,0.1146,0.017,-0.0013,0.3144676672124472
ETHUSDT,very_high_volume,12,94,0.5319,0.471,0.0609,0.0034,0.0011,0.314058975588257
FLOWUSDT,strong_mom_up,1,131,0.5115,0.458,0.0535,0.0024,0.0003,0.3132096021687194
ADAUSDT,bb_lower_high_volume,24,62,0.4839,0.402,0.0819,0.0026,-0.002,0.31205803439819046
ARPAUSDT,strong_mom_down,12,43,0.5814,0.5,0.0814,0.0068,0.0053,0.3103370733035755
ZECUSDT,ranging_bb_upper,24,56,0.5179,0.438,0.0799,0.0181,0.0081,0.3096611368255138
UNIUSDT,strong_mom_down,4,85,0.5294,0.466,0.0634,0.0013,0.0012,0.30944442138280015
BNBUSDT,trend_down_oversold,12,139,0.4964,0.444,0.0524,0.0013,-0.0002,0.3066694116110937
ETHUSDT,bb_upper_high_volume,1,61,0.5574,0.487,0.0704,0.0015,0.0008,0.30648169512226603
DOGEUSDT,ranging_bb_upper,1,69,0.5507,0.484,0.0667,0.0017,0.0003,0.3051163326793092
WIFUSDT,bb_upper_high_volume,1,53,0.4528,0.361,0.0918,0.0024,0.0,0.3026126189721189
ADAUSDT,very_high_volume,1,83,0.5181,0.454,0.0641,0.0014,0.0011,0.3025594123544338
ETHUSDT,momentum_continuation_up,24,33,0.5758,0.485,0.0908,0.0059,0.011,0.300340900806395
SOLUSDT,rsi_above_65,12,125,0.488,0.433,0.055,0.0033,-0.0001,0.3000803225804718
OPUSDT,strong_mom_down,24,105,0.5048,0.447,0.0578,0.0075,0.0016,0.2989797911567402
UNIUSDT,very_high_volume,12,97,0.5155,0.457,0.0585,0.0068,0.0016,0.29700954251431466
SUIUSDT,rsi_below_30,1,76,0.5526,0.491,0.0616,0.0009,0.0008,0.29675523492391104
BNBUSDT,rsi_below_30,4,74,0.5541,0.492,0.0621,0.0012,0.0014,0.29600265753208266
ETHUSDT,bb_upper_high_volume,12,61,0.541,0.471,0.07,0.0047,0.0032,0.29577415522658507
BNBUSDT,ranging_bb_lower,4,57,0.5614,0.492,0.0694,0.0006,0.001,0.2941503074060933
ETHUSDT,momentum_continuation_up,1,33,0.5758,0.487,0.0888,0.0009,0.0002,0.2937254624626418
NEARUSDT,rsi_above_70,1,64,0.5312,0.463,0.0682,0.0025,0.0015,0.28982272
PEPEUSDT,very_high_volume,12,75,0.4667,0.395,0.0717,0.0044,-0.0015,0.2897927981134236
BNBUSDT,momentum_4h_pos,24,107,0.4953,0.439,0.0563,0.004,0.0008,0.288448717059679
FLOWUSDT,oversold_high_volume,4,39,0.5385,0.453,0.0855,0.0027,0.0015,0.28753063659275946
OPUSDT,rsi_below_30,24,68,0.5147,0.447,0.0677,0.0025,0.0012,0.2873407978294325
FLOWUSDT,ranging_bb_lower,4,45,0.5333,0.453,0.0803,0.0014,0.0055,0.28727205812331363
INJUSDT,rsi_below_30,24,63,0.5079,0.437,0.0709,0.0107,0.0007,0.28582138723224043
ADAUSDT,high_volatility,1,39,0.5385,0.454,0.0845,0.0011,0.0004,0.28416770517062195
VETUSDT,ranging_bb_upper,4,55,0.5455,0.476,0.0695,0.0032,0.0006,0.2811647710923926
SOLUSDT,very_high_volume,24,81,0.5185,0.459,0.0595,0.0066,0.0034,0.27765674999999995
ATOMUSDT,oversold_high_volume,12,37,0.5135,0.425,0.0885,0.0008,0.0006,0.27642962249876996
ZECUSDT,squeeze_breakout_up,12,62,0.5,0.43,0.07,0.0012,-0.0,0.27559027559041344
PEPEUSDT,ranging_bb_upper,4,56,0.5,0.427,0.073,0.0024,0.0015,0.2731409892344977
FLOWUSDT,rsi_above_70,1,59,0.5254,0.458,0.0674,0.0039,0.0013,0.2720044259776932
PEPEUSDT,squeeze_breakout_up,12,37,0.4865,0.395,0.0915,0.0062,0.0017,0.27077265334559264
XRPUSDT,oversold_high_volume,24,44,0.5,0.419,0.081,0.0023,-0.0002,0.26864660801878737
ETHUSDT,ranging_bb_upper,24,43,0.5581,0.485,0.0731,0.0152,0.0071,0.26752454079418636
FLOWUSDT,very_high_volume,24,90,0.4222,0.356,0.0662,0.0191,-0.0093,0.26515356654524563
CRVUSDT,ranging_bb_upper,12,60,0.5,0.432,0.068,0.0051,0.0034,0.26336286754210436
ZECUSDT,ranging_bb_upper,12,56,0.5,0.43,0.07,0.0055,0.0024,0.26191601707417594
UNIUSDT,very_high_volume,24,97,0.5052,0.453,0.0522,0.0043,0.0003,0.25972856258859783
VETUSDT,oversold_high_volume,24,47,0.4894,0.412,0.0774,0.0064,-0.0001,0.25968917977516737
AVAXUSDT,strong_mom_down,4,82,0.5,0.443,0.057,0.0011,0.0005,0.2580784764369164
LTCUSDT,bb_lower_high_volume,12,61,0.5246,0.462,0.0626,0.0006,0.0015,0.2564882869467875
OPUSDT,oversold_high_volume,24,36,0.5278,0.447,0.0808,0.0066,0.0032,0.25587744
LDOUSDT,very_high_volume,12,85,0.5294,0.477,0.0524,0.0028,0.0041,0.25575532619020075
LTCUSDT,bb_upper_high_volume,1,52,0.5385,0.473,0.0655,0.0015,0.0009,0.25434820640069394
INJUSDT,rsi_below_30,12,63,0.4921,0.427,0.0651,0.0135,-0.0003,0.2542755652001551
NEARUSDT,strong_mom_down,1,65,0.5231,0.463,0.0601,0.0007,0.0009,0.2534637583909118
VETUSDT,squeeze_breakout_down,24,32,0.5,0.412,0.088,0.0142,0.0003,0.24890158697766473
AVAXUSDT,bb_upper_high_volume,1,70,0.5,0.441,0.059,0.002,0.0005,0.24681470782755227
NEARUSDT,rsi_below_30,12,38,0.5,0.421,0.079,0.004,0.0013,0.24349435311727455
ADAUSDT,very_high_volume,4,83,0.494,0.44,0.054,0.0006,0.0004,0.24302992615725333
ARPAUSDT,bb_lower_high_volume,12,35,0.5714,0.5,0.0714,0.0087,0.0054,0.24136398634770684
LTCUSDT,very_high_volume,4,77,0.5325,0.481,0.0515,0.0015,0.0011,0.24064242961874469
ZECUSDT,bb_upper_high_volume,24,77,0.4935,0.438,0.0555,0.0088,-0.0008,0.2403396933473797
BNBUSDT,ranging_bb_lower,1,57,0.5614,0.505,0.0564,0.0009,0.0003,0.23905010573060032
OPUSDT,bb_lower_high_volume,12,49,0.5102,0.444,0.0662,0.003,0.0025,0.23642667999999997
ADAUSDT,strong_mom_down,12,77,0.4675,0.41,0.0575,0.0043,-0.0011,0.23588201143858453
SOLUSDT,momentum_continuation_up,1,31,0.5484,0.472,0.0764,0.0009,0.0007,0.23327685501040515
UNIUSDT,bb_lower_high_volume,12,50,0.52,0.457,0.063,0.0021,0.0017,0.231648181516713
AVAXUSDT,high_volatility,4,66,0.5,0.443,0.057,0.0013,0.0006,0.2315350945321249
NEARUSDT,rsi_below_30,4,38,0.5263,0.455,0.0713,0.0035,0.0012,0.23132080670007138
NEARUSDT,bb_upper_high_volume,4,79,0.5063,0.455,0.0513,0.0058,0.0023,0.23085476235787708
VETUSDT,rsi_below_30,24,59,0.4746,0.412,0.0626,0.0051,-0.0011,0.22820653292334644
UNIUSDT,squeeze_breakout_down,12,38,0.5263,0.457,0.0693,0.0051,0.008,0.22483214452054623
UNIUSDT,high_volatility,1,60,0.5333,0.479,0.0543,0.0011,0.0013,0.2243091752126203
ADAUSDT,bb_upper_high_volume,1,67,0.5075,0.454,0.0535,0.0015,0.0009,0.22224255944730187
SUIUSDT,oversold_high_volume,24,44,0.5,0.433,0.067,0.0058,-0.0001,0.2222138609538118
ZECUSDT,bb_upper_high_volume,4,77,0.4805,0.428,0.0525,0.0055,-0.002,0.2213594453774505
LDOUSDT,high_volatility,1,43,0.5349,0.472,0.0629,0.002,0.0013,0.2206263962122309
DOGEUSDT,bb_lower_high_volume,4,55,0.5273,0.471,0.0563,0.0006,0.0008,0.22016461032442408
DOGEUSDT,ranging_bb_upper,4,69,0.5217,0.471,0.0507,0.0081,0.0018,0.21971177943271708
WIFUSDT,ranging_bb_upper,24,47,0.4894,0.424,0.0654,0.0071,0.0056,0.2194272914379321
FLOWUSDT,bb_upper_high_volume,24,54,0.4259,0.356,0.0699,0.0426,-0.0055,0.21876694180034928
BTCUSDT,momentum_continuation_up,1,32,0.5625,0.494,0.0685,0.0022,0.0012,0.21796566530075331
NEARUSDT,strong_mom_down,4,65,0.5077,0.455,0.0527,0.0016,0.0007,0.21571207523934885
CRVUSDT,bb_lower_high_volume,12,55,0.4909,0.432,0.0589,0.0014,-0.0004,0.21443203721786888
PEPEUSDT,ranging_bb_upper,1,56,0.4643,0.403,0.0613,0.0012,0.0,0.21298703692566268
ADAUSDT,bb_lower_high_volume,12,62,0.4677,0.41,0.0577,0.003,-0.0006,0.2124902599503662
ADAUSDT,strong_mom_down,24,77,0.4545,0.402,0.0525,0.007,-0.0074,0.20938161898866028
SOLUSDT,rsi_above_70,12,68,0.4853,0.433,0.0523,0.0053,-0.0028,0.20929865454774144
NEARUSDT,ranging_bb_upper,1,38,0.5263,0.463,0.0633,0.0006,0.0008,0.20536615798197078
NEARUSDT,rsi_below_30,1,38,0.5263,0.463,0.0633,0.0022,0.0008,0.20536615798197078
ZECUSDT,momentum_continuation_up,12,49,0.4898,0.43,0.0598,0.0012,-0.0011,0.20503028
OPUSDT,squeeze_breakout_down,24,35,0.5143,0.447,0.0673,0.0094,0.0065,0.20476966072375932
ZECUSDT,ranging_bb_upper,4,56,0.4821,0.428,0.0541,0.0032,-0.0004,0.1951768974309142
AAVEUSDT,oversold_high_volume,12,47,0.5106,0.455,0.0556,0.0053,0.0003,0.1946276464864414
PEPEUSDT,squeeze_breakout_up,24,37,0.4595,0.392,0.0675,0.0088,-0.0029,0.18866448333036215
DOGEUSDT,ranging_bb_lower,12,45,0.4889,0.432,0.0569,0.0028,-0.0008,0.1866115673578798
BTCUSDT,ranging_bb_upper,4,37,0.5405,0.485,0.0555,0.0008,0.0001,0.1824691896932534
FLOWUSDT,rsi_above_70,24,59,0.4068,0.356,0.0508,0.0374,-0.0248,0.15873425658383383
PEPEUSDT,squeeze_breakout_up,1,37,0.4595,0.403,0.0565,0.001,0.0,0.1579191601209698
